,jointime,outtime,scores,one,two
252,2012-01-31,2019-04-25 01:51:27,30,2019-04-25,01:51:27
253,2008-06-19,2019-04-25 11:54:53,30,2019-04-25,11:54:53
254,2010-05-22,2019-04-24 04:32:46,30,2019-04-24,04:32:46
255,2012-01-14,2019-04-24 15:57:07,30,2019-04-24,15:57:07
256,2013-01-27,2019-04-25 15:40:40,30,2019-04-25,15:40:40
257,2007-08-29,2019-04-25 20:35:48,30,2019-04-25,20:35:48
258,2010-04-04,2019-04-24 20:56:07,30,2019-04-24,20:56:07
259,2009-05-18,2019-04-25 19:03:57,30,2019-04-25,19:03:57
260,2014-05-07,2019-04-24 13:23:57,30,2019-04-24,13:23:57
261,2008-08-25,2019-04-27 01:33:01,30,2019-04-27,01:33:01
262,2011-12-18,2019-04-24 23:52:00,30,2019-04-24,23:52:00
263,2005-07-08,2019-04-24 18:34:55,30,2019-04-24,18:34:55
264,2009-09-11,2019-04-25 02:40:50,30,2019-04-25,02:40:50
265,2007-11-05,2019-04-24 03:17:52,30,2019-04-24,03:17:52
266,2006-03-28,2019-04-24 13:31:29,30,2019-04-24,13:31:29
267,2006-06-12,2019-04-27 20:05:53,30,2019-04-27,20:05:53
268,2012-11-11,2019-04-24 23:30:22,30,2019-04-24,23:30:22
269,2014-05-23,2019-04-24 19:48:27,30,2019-04-24,19:48:27
270,2007-02-22,2019-04-28 15:31:31,30,2019-04-28,15:31:31
271,2009-11-23,2019-04-24 22:55:34,30,2019-04-24,22:55:34
272,2010-09-01,2019-04-28 02:25:51,30,2019-04-28,02:25:51
273,2006-07-18,2019-04-25 11:33:06,30,2019-04-25,11:33:06
274,2012-03-06,2019-04-24 23:12:02,30,2019-04-24,23:12:02
275,2007-03-22,2019-04-24 17:46:41,30,2019-04-24,17:46:41
276,2009-08-22,2019-04-30 21:32:48,30,2019-04-30,21:32:48
277,2007-05-18,2019-04-27 00:27:38,30,2019-04-27,00:27:38
278,2007-10-30,2019-05-17 15:57:05,30,2019-05-17,15:57:05
279,2016-11-23,2019-04-28 17:44:29,30,2019-04-28,17:44:29
280,2005-09-18,2019-04-26 23:48:27,30,2019-04-26,23:48:27
281,2006-11-01,2019-04-24 21:18:39,30,2019-04-24,21:18:39
282,2010-01-25,2019-04-24 12:27:13,30,2019-04-24,12:27:13
283,2006-07-04,2019-04-24 20:47:59,30,2019-04-24,20:47:59
284,2009-06-07,2019-04-26 00:05:55,30,2019-04-26,00:05:55
285,2007-06-09,2019-04-27 11:54:35,30,2019-04-27,11:54:35
286,2013-07-31,2019-04-27 16:19:57,30,2019-04-27,16:19:57
287,2009-10-29,2019-04-24 03:15:20,30,2019-04-24,03:15:20
288,2017-09-30,2019-04-28 18:01:13,30,2019-04-28,18:01:13
289,2010-07-26,2019-04-24 03:15:17,30,2019-04-24,03:15:17
290,2009-10-01,2019-05-05 17:39:02,30,2019-05-05,17:39:02
291,2008-06-28,2019-04-27 16:14:18,30,2019-04-27,16:14:18
292,2011-06-20,2019-04-24 16:02:16,30,2019-04-24,16:02:16
293,2012-08-31,2019-04-30 01:02:54,30,2019-04-30,01:02:54
294,2018-04-13,2019-04-26 15:04:20,30,2019-04-26,15:04:20
295,2011-02-07,2019-04-24 07:38:19,30,2019-04-24,07:38:19
296,2005-10-10,2019-04-27 17:29:43,30,2019-04-27,17:29:43
297,2010-07-02,2019-04-29 18:39:58,30,2019-04-29,18:39:58
298,2010-10-08,2019-04-27 02:39:26,30,2019-04-27,02:39:26
299,2006-12-06,2019-04-26 17:49:19,30,2019-04-26,17:49:19
300,2007-12-15,2019-04-27 14:19:02,30,2019-04-27,14:19:02
301,2007-08-08,2019-04-24 04:45:23,30,2019-04-24,04:45:23
302,2017-04-25,2019-04-24 07:15:28,30,2019-04-24,07:15:28
303,2010-08-14,2019-04-24 07:36:59,30,2019-04-24,07:36:59
304,2010-06-18,2019-04-24 17:35:16,30,2019-04-24,17:35:16
305,2010-03-19,2019-04-27 05:43:41,30,2019-04-27,05:43:41
306,2007-10-20,2019-04-26 02:19:49,30,2019-04-26,02:19:49
307,2015-10-15,2019-04-24 05:15:11,30,2019-04-24,05:15:11
308,2009-11-17,2019-04-24 13:50:52,30,2019-04-24,13:50:52
309,2010-09-11,2019-04-25 13:12:08,30,2019-04-25,13:12:08
310,2010-06-08,2019-05-01 21:04:56,30,2019-05-01,21:04:56
311,2009-08-16,2019-04-27 14:53:54,30,2019-04-27,14:53:54
312,2017-01-13,2019-04-25 04:46:57,30,2019-04-25,04:46:57
313,2015-12-06,2019-04-25 15:14:30,30,2019-04-25,15:14:30
314,2010-08-30,2019-04-26 01:15:25,30,2019-04-26,01:15:25
315,2008-05-12,2019-04-26 02:53:48,30,2019-04-26,02:53:48
316,2018-07-27,2019-04-24 11:05:57,30,2019-04-24,11:05:57
317,2011-08-10,2019-05-07 17:44:15,30,2019-05-07,17:44:15
318,2011-11-18,2019-05-05 23:34:23,30,2019-05-05,23:34:23
319,2011-04-21,2019-04-29 17:35:34,30,2019-04-29,17:35:34
320,2010-03-20,2019-04-29 08:21:49,30,2019-04-29,08:21:49
321,2006-05-22,2019-05-04 20:16:11,30,2019-05-04,20:16:11
322,2016-02-08,2019-04-24 14:51:29,30,2019-04-24,14:51:29
323,2014-07-18,2019-04-27 12:12:02,30,2019-04-27,12:12:02
324,2013-09-17,2019-04-28 11:25:01,30,2019-04-28,11:25:01
325,2013-03-24,2019-04-24 21:41:32,30,2019-04-24,21:41:32
326,2012-10-28,2019-05-15 08:38:17,30,2019-05-15,08:38:17
327,2010-08-11,2019-04-29 17:26:04,30,2019-04-29,17:26:04
328,2013-03-30,2019-04-25 22:37:00,30,2019-04-25,22:37:00
329,2008-03-14,2019-04-24 12:15:51,30,2019-04-24,12:15:51
330,2008-04-01,2019-05-02 23:37:22,30,2019-05-02,23:37:22
331,2014-02-23,2019-04-24 21:31:44,30,2019-04-24,21:31:44
332,2018-08-28,2019-04-24 20:06:39,30,2019-04-24,20:06:39
333,2016-11-09,2019-04-24 19:48:53,30,2019-04-24,19:48:53
334,2007-12-08,2019-04-24 23:59:23,30,2019-04-24,23:59:23
335,2017-04-12,2019-04-25 11:33:22,30,2019-04-25,11:33:22
